county,map_tier,prog_share,turnout,margin,flanagan_pct,craig_pct,flanagan_votes,craig_votes
Hennepin,2,55.71933821362286,241815,4.835088994993786,52.41754449749689,47.58245550250311,126753,115062
Ramsey,2,57.56093085838354,87058,4.982416406574641,52.49120820328732,47.50879179671268,45698,41360
Dakota,-2,43.43034595065422,48332,-4.760495903407096,47.619752048296455,52.380247951703545,23016,25316
Washington,2,40.062492341624804,35385,3.5825413252339415,51.791270662616974,48.208729337383026,18326,17059
St. Louis,2,44.357491934711085,32005,3.9261412926808443,51.96307064634042,48.03692935365958,16631,15374
Olmsted,1,45.31905497902407,30124,1.8499499568850348,50.92497497844252,49.07502502155748,15341,14783
Anoka,2,45.51378446115288,26508,4.018644694796188,52.0093223473981,47.9906776526019,13787,12721
Stearns,1,47.069597069597066,11853,1.9899933241308747,50.99499666206544,49.00500333793456,6044,5809
Blue Earth,2,54.73940871685462,8640,4.756694635252327,52.378347317626165,47.621652682373835,4525,4115
Scott,-2,41.75924390648317,8007,-4.89418406694078,47.55290796652961,52.44709203347039,3808,4199
Rice,-2,53.41133004926108,6889,-3.9620171755185476,48.01899141224072,51.98100858775928,3308,3581
Itasca,-1,33.55855855855856,6751,-3.3971225154339013,48.30143874228305,51.69856125771695,3261,3490
Carver,-2,37.98441869756293,6475,-5.196170083654399,47.4019149581728,52.5980850418272,3069,3406
Winona,2,49.49383397754463,6314,4.337048656107528,52.16852432805376,47.83147567194624,3294,3020
Mower,1,34.421052631578945,5469,0.9781097690894252,50.489054884544714,49.510945115455286,2761,2708
Wright,-2,35.943627450980394,5428,-5.359433383381003,47.3202833083095,52.6797166916905,2569,2859
Nicollet,2,50.35805626598465,5271,4.406186439182729,52.203093219591366,47.796906780408634,2752,2519
Goodhue,-2,35.08093742449867,4863,-5.428448585499541,47.28577570725023,52.71422429274977,2300,2563
Crow Wing,-1,35.21661456007146,4071,-3.2644780353128695,48.36776098234357,51.63223901765643,1969,2102
Freeborn,-1,33.72731110173069,4046,-3.383622311980131,48.30818884400993,51.69181115599007,1955,2091
Sherburne,-2,39.41166046429204,4000,-5.081990742316071,47.45900462884197,52.54099537115803,1898,2102
Clay,2,48.926706633146395,3778,4.291678468555669,52.14583923427784,47.85416076572216,1970,1808
Steele,-2,38.991596638655466,3460,-5.115595848366997,47.4422020758165,52.5577979241835,1642,1818
Beltrami,3,53.998476770754,3459,6.850536458905126,53.42526822945256,46.57473177054744,1848,1611
Otter Tail,-2,32.056397978185686,3389,-5.670411741204579,47.16479412939771,52.83520587060229,1598,1791
Kandiyohi,-2,30.646359583952453,3356,-5.783214812743238,47.10839259362838,52.89160740637162,1581,1775
Douglas,-2,28.54283426741393,3152,-5.95149683806632,47.02425158096684,52.97574841903316,1482,1670
Chisago,-2,36.00817786864299,3131,-5.3542693499679945,47.322865325016004,52.677134674983996,1482,1649
Carlton,-1,36.24876114965312,3027,-3.1819063081463366,48.40904684592683,51.59095315407317,1465,1562
Le Sueur,-3,32.97224102911307,2912,-7.750260676471237,46.12486966176438,53.87513033823562,1343,1569
Isanti,-2,34.36276642018269,2568,-5.485902265844819,47.25704886707759,52.74295113292241,1214,1354
Fillmore,-2,35.64084989718986,2461,-5.383655587684245,47.30817220615788,52.69182779384212,1164,1297
Brown,-1,35.798816568047336,2437,-3.2179018746747996,48.3910490626626,51.6089509373374,1179,1258
Houston,-2,37.84366576819407,2374,-5.207430318003908,47.39628484099805,52.60371515900195,1125,1249
Becker,-2,32.45478036175711,2258,-5.638541150518865,47.18072942474057,52.81927057525943,1065,1193
Cass,-2,37.9746835443038,2239,-5.19694889591513,47.401525552042436,52.598474447957564,1061,1178
Lake,2,38.59543817527011,2220,3.465176991925566,51.73258849596278,48.26741150403722,1148,1072
Polk,-2,36.00264725347452,2001,-5.354711799181473,47.32264410040926,52.67735589959074,947,1054
Aitkin,-2,31.79297597042514,1744,-5.691485501825423,47.15425724908729,52.84574275091271,822,922
Cook,2,58.49909584086799,1730,5.057469605173396,52.5287348025867,47.4712651974133,909,821
Wabasha,-1,32.12435233160622,1722,-3.511859013590089,48.24407049320496,51.75592950679504,831,891
Dodge,-1,35.07767784137367,1714,-3.2755929728086928,48.36220351359565,51.63779648640435,829,885
Pine,-2,35.15709642470206,1622,-5.4223558654832695,47.288822067258366,52.711177932741634,767,855
Benton,1,46.86395759717315,1603,1.9735421663369612,50.98677108316848,49.01322891683152,817,786
Waseca,2,34.673815907059875,1568,3.1514472104687474,51.57572360523437,48.42427639476563,809,759
Hubbard,-2,36.37523931078494,1368,-5.324904434596639,47.337547782701684,52.662452217298316,648,720
McLeod,-1,36.6877515813686,1343,-3.146787073609098,48.42660646319545,51.57339353680455,650,693
Martin,-1,32.92978208232446,1335,-3.4474246335326297,48.27628768323368,51.72371231676632,644,691
Meeker,-2,30.76162215628091,1322,-5.773993806956962,47.11300309652152,52.88699690347848,623,699
Morrison,-1,31.93717277486911,1220,-3.5268333781290573,48.23658331093547,51.76341668906453,588,632
Koochiching,-2,27.48768472906404,1156,-6.035908801134311,46.982045599432844,53.017954400567156,543,613
Faribault,-2,28.29931972789116,1145,-5.970978001228142,47.01451099938593,52.98548900061407,538,607
Lyon,2,40.88145896656535,1133,3.6480586552291854,51.824029327614596,48.175970672385404,587,546
Mille Lacs,-1,38.11953352769679,1122,-3.032244517902843,48.48387774104858,51.51612225895142,544,578
Sibley,-2,30.265210608424336,1074,-5.813706730785487,47.09314663460726,52.90685336539274,506,568
Kanabec,-1,33.3692142088267,1000,-3.4122700634124508,48.293864968293775,51.706135031706225,483,517
Redwood,-1,35.332252836304704,948,-3.25522697321421,48.3723865133929,51.6276134866071,459,489
Watonwan,-2,35.28368794326241,896,-5.412228543998442,47.29388572800078,52.70611427199922,424,472
Pope,-2,24.720670391061454,838,-6.2572699481745175,46.87136502591274,53.12863497408726,393,445
Nobles,-2,40.264900662251655,833,-5.013731526479302,47.49313423676035,52.50686576323965,396,437
Todd,-2,31.4638783269962,830,-5.717813313299739,47.14109334335013,52.85890665664987,391,439
Jackson,-2,28.65731462925852,708,-5.9423384091187526,47.028830795440626,52.971169204559374,333,375
Stevens,2,63.76988984088128,677,5.479133125174459,52.73956656258723,47.26043343741277,357,320
Rock,-2,34.88943488943489,671,-5.443768788304643,47.27811560584768,52.72188439415232,317,354
Marshall,-2,29.429429429429426,644,-5.88056922510508,47.05971538744746,52.94028461255254,303,341
Chippewa,-2,33.715220949263504,633,-5.537705903518354,47.23114704824082,52.76885295175918,299,334
Grant,-3,34.61538461538461,603,-7.618809189569514,46.19059540521524,53.80940459478476,279,324
Roseau,-3,30.278884462151396,592,-7.965729201828171,46.017135399085916,53.982864600914084,272,320
Clearwater,-2,34.39635535307517,589,-5.48321515121342,47.25839242439329,52.74160757560671,278,311
Wadena,-1,35.8161648177496,576,-3.2165140146986184,48.39174299265069,51.60825700734931,279,297
Pennington,-3,36.86635944700461,564,-7.4387312030399135,46.280634398480046,53.719365601519954,261,303
Norman,-2,37.30569948186528,556,-5.250467620910212,47.37476618954489,52.62523381045511,263,293
Swift,-3,28.54609929078014,549,-8.104352015537872,45.947823992231065,54.052176007768935,252,297
Murray,-2,26.785714285714285,545,-6.092066436602291,46.95396678169885,53.04603321830115,256,289
Renville,-2,30.498533724340177,527,-5.79504088151222,47.10247955924389,52.89752044075611,248,279
Yellow Medicine,-2,31.08695652173913,505,-5.747967057720304,47.12601647113985,52.87398352886015,238,267
Big Stone,-3,31.954887218045116,479,-7.831648981356674,46.08417550932166,53.91582449067834,221,258
Lac qui Parle,-3,26.262626262626267,474,-8.28702985779018,45.85648507110491,54.14351492889509,217,257
Kittson,-3,28.363636363636363,471,-8.118949049709373,45.940525475145314,54.059474524854686,216,255
Pipestone,-3,29.18918918918919,449,-8.052904823665147,45.97354758816743,54.02645241183257,206,243
Traverse,-3,24.598930481283425,436,-8.420125520297608,45.7899372398512,54.2100627601488,200,236
Cottonwood,-2,31.360946745562128,417,-5.726047839814464,47.136976080092765,52.863023919907235,197,220
Mahnomen,-1,46.075085324232084,364,-2.3958003741800193,48.802099812909994,51.197900187090006,178,186
Lake of the Woods,-2,27.419354838709676,324,-6.04137519236266,46.97931240381867,53.02068759618133,152,172
Wilkin,-3,30.278884462151396,318,-7.965729201828171,46.017135399085916,53.982864600914084,146,172
Red Lake,-2,37.5,301,-5.234923579459434,47.38253821027028,52.61746178972972,143,158
Lincoln,-3,21.01694915254237,236,-8.706684026596893,45.646657986701555,54.353342013298445,108,128
